sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Aggregate,"RIEDEL, TIMOTHY E",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,37,7,1,0,2,0,0,0,0,0,0,0
Aggregate,"SANDY, MORIAH M",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,43,7,3,0,0,0,0,0,0,0,0,0
Aggregate,"STOVALL, GWENDOLYN M",BIO,377,UNDERGRADUATE RESEARCH-FRI,0,27,4,2,1,0,0,0,0,0,0,0,2
Aggregate,"EL MOHTAR, CHADI S",C E,397,UNDERGROUND OPENINGS,0,12,3,3,1,0,0,0,0,0,0,0,1
Aggregate,"REESE, STEPHEN D",UGS,302,UNDERSTANDING 9-11,0,7,4,9,14,4,2,2,3,0,0,0,1
Aggregate,"NEUBURGER, MARY C",REE,385,UNDERSTANDING COLD WAR IN EAST,0,6,2,0,0,0,0,0,0,0,0,0,0
Aggregate,"BAILEY, DIANE E",INF,397C,UNDERSTANDING RESEARCH,0,56,19,4,1,0,0,0,0,0,0,0,0
Aggregate,"BARKER, LECIA J",INF,397C,UNDERSTANDING RESEARCH,0,12,1,0,1,0,0,0,0,0,0,0,0
Aggregate,"BIAS, RANDOLPH G",INF,397C,UNDERSTANDING RESEARCH,0,50,16,4,1,0,0,0,1,0,0,0,0
Aggregate,"DOTY, PHILIP",INF,397C,UNDERSTANDING RESEARCH,0,9,3,6,7,0,0,0,0,0,0,0,0
Aggregate,"KARADKAR, UNMIL P",INF,397C,UNDERSTANDING RESEARCH,0,65,16,1,1,0,0,0,0,0,0,0,0
Aggregate,"REESE, STEPHEN D",UGS,302,UNDERSTANDING SEPTEMBER 11,0,7,4,0,2,1,0,2,0,0,0,0,0
Aggregate,"FALOLA, OLORUNTOYIN O",WGS,301,UNITED STATES AND AFRICA,0,3,4,3,0,0,1,0,0,0,0,0,1
Aggregate,"RESTAD, PENNE L",HIS,315K,"UNITED STATES, 1492-1865-HON",0,6,15,13,9,2,0,0,0,0,0,0,0
Aggregate,"MORROW, JAMES M JR",ENS,101U,UNIVERSITY CHORUS,0,39,0,0,3,0,0,2,0,0,0,0,2
Aggregate,"STREETER, RYAN",P A,388K,UPWARD MOBLTY/INEQLTY/PUB POL,0,11,3,0,0,0,0,0,0,0,0,0,0
Aggregate,"DOOLING, SARAH E",CRP,383,URB ECOLOGICAL INFRASTRUCTURE,0,2,4,1,1,0,0,0,0,0,0,0,0
Aggregate,"ATKINSON, SIMON D",ARC,693K,URBAN DESIGN STUDIO,0,0,3,3,0,0,0,0,0,0,0,0,0
Aggregate,"WILSON, ROBERT H",P A,393L,URBAN DEV IN THE GLOBAL SOUTH,0,5,8,5,1,0,0,0,0,0,0,0,0
