sem,prof,dept,course_nbr,course_name,a1,a2,a3,b1,b2,b3,c1,c2,c3,d1,d2,d3,f
Spring 2014,"ANDERSON, CHARLES O",UGS,302,AFRICAN AMERICAN CONCERT DANCE,0,12,3,1,0,0,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, DAVID A",LAW,381C,CONST LAW II: FIRST AMENDMENT,1,4,3,1,0,1,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, DAVID A",LAW,397S,SMNR: FICTION BY LAWYERS,2,3,3,4,0,0,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, DEREK E",PHL,301,INTRODUCTION TO PHILOSOPHY,0,6,7,4,3,2,0,3,0,0,1,0,0
Spring 2014,"ANDERSON, EDWARD G JR",O M,386,5-MANAGING PROJECTS,0,18,3,6,2,1,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, EDWARD G JR",O M,335H,OPERATIONS MANAGEMENT: HONORS,0,16,18,23,13,4,2,0,0,0,0,0,0
Spring 2014,"ANDERSON, EDWARD R",HDF,315L,RSCH METH IN HUMAN DEV/FAM SCI,0,29,10,15,20,7,6,5,7,0,1,2,2
Spring 2014,"ANDERSON, MARTA L",N,265,NUR CARE OF CHILDBEARING FAMS,0,22,0,0,7,0,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, MICHAEL R",IRG,378,CAPSTONE RESEARCH IN IRG,0,4,4,5,5,2,2,0,1,0,0,0,0
Spring 2014,"ANDERSON, MICHAEL R",IRG,320F,FOUNDATN INTL RELS/GLOBAL STDS,0,10,9,15,22,8,7,7,3,0,0,0,0
Spring 2014,"ANDERSON, OWEN L",LAW,382F,INTL PETROLEUM TRANSACTIONS,0,4,7,4,9,0,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, RONALD B",ADV,370J,INTEGRATED COMMUNICATNS MGMT,0,16,6,0,0,0,0,0,0,0,0,0,0
Spring 2014,"ANDERSON, RONALD B",P R,305,FUNDMNTLS OF PUBLIC RELATIONS,0,11,35,32,27,29,16,9,5,4,2,0,4
Spring 2014,"ANDERSON, RONALD B",P R,319,PRINCIPLES OF PUBLIC RELATIONS,0,6,19,22,23,12,3,3,1,0,1,0,0
Spring 2014,"ANDERSON, WILLIAM L",INF,385T,INTRO TO SCI DATA INFORMATICS,0,1,2,1,1,0,0,0,0,0,0,0,0
Spring 2014,"ANDREWS, JEFFREY G",E E,381K,2-DIGITAL COMMUNICATIONS,0,8,2,1,1,0,0,0,0,0,0,0,0
Spring 2014,"ANJOS, FERNANDO A",FIN,377,2-FINANCIAL RISK MANAGEMENT,0,10,8,5,8,0,0,0,0,0,0,0,3
Spring 2014,"ANJOS, FERNANDO A",FIN,397,4-FINANCIAL RISK MANAGEMENT,0,4,2,2,2,0,0,0,0,0,0,0,0
Spring 2014,"ANSLYN, ERIC V",BIO,102C,CONFERENCE COURSE-FRI,0,24,2,0,0,0,0,0,0,0,0,0,0
